0.000000000000000000e+00,0.000000000000000000e+00
1.962000000000000188e+00,1.440420236926440944e+00
3.924000000000000377e+00,3.386933109371714323e+00
5.886000000000001009e+00,5.161294731993392837e+00
7.848000000000000753e+00,6.678670552310769892e+00
9.810000000000000497e+00,8.982473153966319401e+00
1.177200000000000202e+01,1.124558614300304171e+01
1.373400000000000176e+01,1.341876132081492123e+01
1.569600000000000151e+01,1.529661792450408164e+01
1.765800000000000125e+01,1.728741174505429257e+01
1.962000000000000099e+01,1.890471427855831976e+01
2.158200000000000429e+01,2.110548045727347244e+01
2.354400000000000759e+01,2.306988609238912602e+01
2.550600000000000378e+01,2.525472232276915463e+01
2.746800000000000708e+01,2.705391938440611099e+01
2.943000000000000327e+01,2.928504500269426458e+01
3.139200000000000657e+01,3.158277253272862239e+01
3.335400000000000631e+01,3.348934154848485178e+01
3.531600000000000250e+01,3.511040488578353091e+01
3.727800000000000580e+01,3.679251775461201390e+01
3.924000000000000199e+01,3.880744358341613776e+01
4.120200000000000529e+01,4.081552302224367423e+01
4.316400000000000858e+01,4.308023854203388936e+01
4.512600000000001188e+01,4.562293838737624441e+01
4.708800000000001518e+01,4.723707600057408484e+01
4.905000000000001137e+01,4.906897775015013963e+01
5.101200000000001467e+01,5.053513395007911413e+01
5.297400000000001796e+01,5.286925702979338126e+01
5.493600000000002126e+01,5.453641516397094335e+01
5.689800000000002456e+01,5.616706155178486171e+01
5.886000000000002075e+01,5.832145510264345489e+01
6.082200000000002404e+01,6.010364967853001161e+01
6.278400000000002734e+01,6.178990108799651892e+01
6.474600000000002353e+01,6.336144100854158978e+01
6.670800000000002683e+01,6.510246922487679910e+01
6.867000000000001592e+01,6.743770391521083241e+01
7.063200000000001921e+01,6.937063634532437106e+01
7.259400000000002251e+01,7.156385987420314621e+01
7.455600000000002581e+01,7.374028768842052273e+01
7.651800000000002910e+01,7.609271017581419017e+01
7.848000000000001819e+01,7.880505977647234772e+01
8.044200000000003570e+01,8.098216367844025854e+01
8.240400000000002478e+01,8.300514733216546404e+01
8.436600000000001387e+01,8.502985344868893947e+01
8.632800000000003138e+01,8.735475654202421936e+01
8.829000000000002046e+01,8.977629770400153575e+01
9.025200000000003797e+01,9.143742756490951251e+01
9.221400000000002706e+01,9.299933085967631996e+01
9.417600000000004457e+01,9.474782214487518672e+01
9.613800000000003365e+01,9.629582923782652415e+01
9.810000000000002274e+01,9.807141865700145900e+01
1.000620000000000402e+02,1.000165348660366504e+02
1.020240000000000293e+02,1.013211506785020362e+02
1.039860000000000468e+02,1.034836557467513387e+02
1.059480000000000359e+02,1.062553734208246397e+02
1.079100000000000250e+02,1.083565538310713663e+02
1.098720000000000425e+02,1.100393621940617948e+02
1.118340000000000316e+02,1.122542248765774247e+02
1.137960000000000491e+02,1.141005497744732793e+02
1.157580000000000382e+02,1.154105831017226933e+02
1.177200000000000273e+02,1.172787356200743289e+02
1.196820000000000448e+02,1.187064505417878593e+02
1.216440000000000339e+02,1.206795427057756456e+02
1.236060000000000514e+02,1.223763581327540777e+02
1.255680000000000405e+02,1.240876172266847135e+02
1.275300000000000296e+02,1.260081022214776141e+02
1.294920000000000471e+02,1.273276071438065600e+02
1.314540000000000362e+02,1.291902450935485831e+02
1.334160000000000537e+02,1.311684351255593697e+02
1.353780000000000427e+02,1.334650495709341556e+02
1.373400000000000318e+02,1.348979915459420624e+02
1.393020000000000493e+02,1.376407525051054677e+02
1.412640000000000384e+02,1.392876629279696488e+02
1.432260000000000559e+02,1.416362416496856440e+02
1.451880000000000450e+02,1.436192835644063166e+02
1.471500000000000341e+02,1.454861851207826646e+02
1.491120000000000516e+02,1.480337060645550764e+02
1.510740000000000407e+02,1.498580546193222176e+02
1.530360000000000582e+02,1.513905882649046930e+02
1.549980000000000473e+02,1.532144051632973571e+02
1.569600000000000364e+02,1.553608109107989890e+02
1.589220000000000255e+02,1.575646132627219345e+02
1.608840000000000430e+02,1.590803577577624139e+02
1.628460000000000321e+02,1.607668872244645684e+02
1.648080000000000211e+02,1.626635461588550697e+02
1.667700000000000102e+02,1.650427547242962021e+02
1.687319999999999993e+02,1.678616153722720412e+02
1.706940000000000168e+02,1.689781138332518822e+02
1.726560000000000059e+02,1.710441292002151670e+02
1.746179999999999950e+02,1.730023644271591081e+02
1.765799999999999841e+02,1.754931727032517870e+02
1.785419999999999732e+02,1.766621431532797715e+02
1.805039999999999907e+02,1.784296857999422912e+02
1.824659999999999798e+02,1.807487949717470883e+02
1.844279999999999688e+02,1.824072247918011556e+02
1.863899999999999579e+02,1.844968893923611688e+02
1.883519999999999754e+02,1.850709322446479632e+02
1.903139999999999645e+02,1.871330121451311754e+02
1.922759999999999536e+02,1.890531278160817124e+02
1.942379999999999427e+02,1.915544527605256633e+02
1.961999999999999318e+02,1.929278461427412026e+02
1.981619999999999493e+02,1.944829599346302587e+02
2.001239999999999384e+02,1.968434376207901551e+02
2.020859999999999275e+02,1.993284854547966063e+02
2.040479999999999166e+02,2.013311825718564023e+02
2.060099999999999056e+02,2.029131077001766528e+02
2.079719999999999231e+02,2.048784358155230052e+02
2.099339999999999122e+02,2.066104158535112276e+02
2.118959999999999013e+02,2.081324108690391483e+02
2.138579999999998904e+02,2.095819771015520701e+02
2.158199999999998795e+02,2.111917304804645710e+02
2.177819999999998970e+02,2.141918862366283065e+02
2.197439999999998861e+02,2.167003085671951510e+02
2.217059999999998752e+02,2.191327219867658300e+02
2.236679999999998643e+02,2.201365896644638553e+02
2.256299999999998533e+02,2.219976056968605462e+02
